feature,importance
Title_Mr,0.22139565777921819
Sex_male,0.1959336974994636
Pclass,0.07678086941229526
Fare_log,0.06231012807892434
Fare,0.06088798276599234
Title_Miss,0.0598688446421582
Title_Mrs,0.05506782224761011
CabinDeck_M,0.04923155879171183
FamilySize,0.03902689609568109
Age,0.03625278268915625
SibSp,0.02472461277686381
Parch,0.012661856860687002
AgeBand_Child,0.01169748757779633
FareBand_Low,0.009306876037788198
CabinDeck_E,0.008130464986510858
IsAlone,0.007743671453048382
Embarked_S,0.007687312404219582
Title_Rare,0.006195077632974759
Embarked_Q,0.005147718354873397
CabinDeck_B,0.005075655744263015
TicketPrefix_PC,0.004328774186098858
AgeBand_YoungAdult,0.0041789058569440905
FareBand_MidLow,0.004092559051948137
FareBand_MidHigh,0.004084170490851195
TicketPrefix_NONE,0.004043625074250069
TicketPrefix_Rare,0.0037208051273285867
CabinDeck_C,0.0037108907103917494
TicketPrefix_STONO,0.003143868977773434
CabinDeck_D,0.00301446667419381
TicketPrefix_WC,0.002670245526329046
AgeBand_Senior,0.00258483729640274
AgeBand_Teen,0.0018013213931106407
TicketPrefix_CA,0.0013716427441597071
CabinDeck_G,0.0008982773793893283
TicketPrefix_SOTONOQ,0.0006667253209012106
CabinDeck_F,0.000553040073899219
CabinDeck_T,8.870284791892327e-06
