feature_set,fold,accuracy,precision,recall,f1_score,n_features
derived_features_only,1,0.8491620111731844,0.8387096774193549,0.7536231884057971,0.7938931297709924,37
derived_features_only,2,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542,37
derived_features_only,3,0.8202247191011236,0.8333333333333334,0.6617647058823529,0.7377049180327869,37
derived_features_only,4,0.8202247191011236,0.7903225806451613,0.7205882352941176,0.7538461538461538,37
derived_features_only,5,0.8539325842696629,0.8208955223880597,0.7971014492753623,0.8088235294117647,37
Without_title_info,1,0.8212290502793296,0.8490566037735849,0.6521739130434783,0.7377049180327869,33
Without_title_info,2,0.8370786516853933,0.8545454545454545,0.6911764705882353,0.7642276422764228,33
Without_title_info,3,0.797752808988764,0.8076923076923077,0.6176470588235294,0.7,33
Without_title_info,4,0.8202247191011236,0.7903225806451613,0.7205882352941176,0.7538461538461538,33
Without_title_info,5,0.8202247191011236,0.8245614035087719,0.6811594202898551,0.746031746031746,33
Without_ticket_info,1,0.8435754189944135,0.8360655737704918,0.7391304347826086,0.7846153846153846,30
Without_ticket_info,2,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542,30
Without_ticket_info,3,0.8146067415730337,0.8301886792452831,0.6470588235294118,0.7272727272727273,30
Without_ticket_info,4,0.8258426966292135,0.8135593220338984,0.7058823529411765,0.7559055118110236,30
Without_ticket_info,5,0.8426966292134831,0.8153846153846154,0.7681159420289855,0.7910447761194029,30
Without_CabinDeck_info,1,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.7878787878787878,29
Without_CabinDeck_info,2,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542,29
Without_CabinDeck_info,3,0.8146067415730337,0.8301886792452831,0.6470588235294118,0.7272727272727273,29
Without_CabinDeck_info,4,0.8202247191011236,0.8,0.7058823529411765,0.75,29
Without_CabinDeck_info,5,0.8426966292134831,0.8153846153846154,0.7681159420289855,0.7910447761194029,29
Without_bands,1,0.8547486033519553,0.8412698412698413,0.7681159420289855,0.803030303030303,30
Without_bands,2,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542,30
Without_bands,3,0.8146067415730337,0.8301886792452831,0.6470588235294118,0.7272727272727273,30
Without_bands,4,0.8202247191011236,0.8,0.7058823529411765,0.75,30
Without_bands,5,0.8539325842696629,0.8115942028985508,0.8115942028985508,0.8115942028985508,30
Without_family_size,1,0.8379888268156425,0.8225806451612904,0.7391304347826086,0.7786259541984732,36
Without_family_size,2,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,36
Without_family_size,3,0.8146067415730337,0.8301886792452831,0.6470588235294118,0.7272727272727273,36
Without_family_size,4,0.8202247191011236,0.8103448275862069,0.6911764705882353,0.746031746031746,36
Without_family_size,5,0.8370786516853933,0.8125,0.7536231884057971,0.7819548872180451,36
Without_is_alone,1,0.8435754189944135,0.8360655737704918,0.7391304347826086,0.7846153846153846,36
Without_is_alone,2,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542,36
Without_is_alone,3,0.8146067415730337,0.8301886792452831,0.6470588235294118,0.7272727272727273,36
Without_is_alone,4,0.8202247191011236,0.8,0.7058823529411765,0.75,36
Without_is_alone,5,0.8370786516853933,0.8125,0.7536231884057971,0.7819548872180451,36
Without_family_info,1,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,35
Without_family_info,2,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542,35
Without_family_info,3,0.8146067415730337,0.8301886792452831,0.6470588235294118,0.7272727272727273,35
Without_family_info,4,0.8202247191011236,0.8103448275862069,0.6911764705882353,0.746031746031746,35
Without_family_info,5,0.8426966292134831,0.8153846153846154,0.7681159420289855,0.7910447761194029,35
basic_features_only,1,0.8603351955307262,0.9230769230769231,0.6956521739130435,0.7933884297520661,8
basic_features_only,2,0.8146067415730337,0.8181818181818182,0.6617647058823529,0.7317073170731707,8
basic_features_only,3,0.8089887640449438,0.84,0.6176470588235294,0.711864406779661,8
basic_features_only,4,0.8314606741573034,0.8518518518518519,0.6764705882352942,0.7540983606557377,8
basic_features_only,5,0.8370786516853933,0.9166666666666666,0.6376811594202898,0.7521367521367521,8
