feature_set,model,fold,accuracy,precision,recall,f1_score
derived_features_only,LogisticRegression,1,0.8379888268156425,0.7941176470588235,0.782608695652174,0.7883211678832117
derived_features_only,LogisticRegression,2,0.8146067415730337,0.7777777777777778,0.7205882352941176,0.7480916030534351
derived_features_only,LogisticRegression,3,0.7921348314606742,0.7627118644067796,0.6617647058823529,0.7086614173228346
derived_features_only,LogisticRegression,4,0.8202247191011236,0.78125,0.7352941176470589,0.7575757575757576
derived_features_only,LogisticRegression,5,0.8146067415730337,0.75,0.782608695652174,0.7659574468085106
derived_features_only,DecisionTree,1,0.8435754189944135,0.7971014492753623,0.7971014492753623,0.7971014492753623
derived_features_only,DecisionTree,2,0.8314606741573034,0.8275862068965517,0.7058823529411765,0.7619047619047619
derived_features_only,DecisionTree,3,0.7696629213483146,0.6901408450704225,0.7205882352941176,0.7050359712230215
derived_features_only,DecisionTree,4,0.8202247191011236,0.8333333333333334,0.6617647058823529,0.7377049180327869
derived_features_only,DecisionTree,5,0.8370786516853933,0.7857142857142857,0.7971014492753623,0.7913669064748201
derived_features_only,RandomForest,1,0.8491620111731844,0.8387096774193549,0.7536231884057971,0.7938931297709924
derived_features_only,RandomForest,2,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542
derived_features_only,RandomForest,3,0.8202247191011236,0.8333333333333334,0.6617647058823529,0.7377049180327869
derived_features_only,RandomForest,4,0.8202247191011236,0.7903225806451613,0.7205882352941176,0.7538461538461538
derived_features_only,RandomForest,5,0.8539325842696629,0.8208955223880597,0.7971014492753623,0.8088235294117647
derived_features_only,GradientBoosting,1,0.8491620111731844,0.828125,0.7681159420289855,0.7969924812030075
derived_features_only,GradientBoosting,2,0.8426966292134831,0.8225806451612904,0.75,0.7846153846153846
derived_features_only,GradientBoosting,3,0.8033707865168539,0.8,0.6470588235294118,0.7154471544715447
derived_features_only,GradientBoosting,4,0.8314606741573034,0.8064516129032258,0.7352941176470589,0.7692307692307693
derived_features_only,GradientBoosting,5,0.8426966292134831,0.8153846153846154,0.7681159420289855,0.7910447761194029
